pow,almostSorted,decreasing,gaussian,increasing,shuffle
10,0.0282,0.0287,0.025,0.0245,0.0259
11,0.0859,0.0874,0.0842,0.085,0.0882
12,0.1153,0.1122,0.1228,0.1143,0.1126
13,0.2627,0.2573,0.2388,0.2616,0.255
14,0.4406,0.4385,0.437,0.4599,0.4394
15,0.8655,0.8473,0.8239,0.8543,0.8518
16,1.5979,1.5942,1.6027,1.6198,1.5692
17,3.112,3.1035,3.1497,3.0883,3.1317
18,6.2237,6.2179,6.2523,6.1741,6.1933
19,12.3977,12.3781,12.4447,12.4122,12.4612
20,24.5725,24.4688,24.6656,24.3185,24.4491
21,48.692,48.7895,48.65,48.7294,48.8159
22,97.3212,97.5287,97.4572,97.1876,97.3921
23,192.075,192.015,193.066,192.65,194.317
24,409.37,416.345,411.437,400.911,412.971
25,822.399,800.382,838.476,806.433,827.303